Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PKMPLAP,Mechanical Pencil Kit in Antique Pewter,PKFPBU,Mechanical Pencil Kits,3/8in,Tube 3.12”
PKMTFUN24,Funline Designer Economy Gold Twist Pen Kit,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMPLCH,Mechanical Pencil Kit in Chrome,PKFPBU,Mechanical Pencil Kits,3/8in,Tube 3.12”
PKMTFUNCO,Funline Designer Copper Twist Pen Kits,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMTFUNCH,Funline Designer Chrome Twist Pen Kit,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMTFUNGM,Funline Designer Gun Metal Twist Pen Kit,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMTFUNSG,Funline Designer Satin Gold Twist Pen Kit,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMTFUNSP,Funline Designer Satin Pearl Twist Pen Kit,PKMONTBUY,Funline Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMTMIN24,Mini Designer 24kt Gold Pen Kit,PKMONT2-BU,Designer Pen Kits,7mm,"Upper Tube 1-1/2"";Lower Tube 1-11/16"""
PKMUS24,Music Gold Twist Pen Kit,PKMUSBU,Music Pen Kits,8mm,Lower Tube 1.435”
PKMUSAB,Music Antique Brass Twist Pen Kit,PKMUSBU,Music Pen Kits,3/8in;8mm,Lower Tube 1.435”
PKNAUTAB,Nautical Antique Brass Twist Pen Kit,PKMAJSQBU,Nautical Pen Kits,3/8in,Tube / Barrel 2.62”
PKMUSCH,Music Chrome Twist Pen Kit,PKMUSBU,Music Pen Kits,8mm,Lower Tube 1.435”
PKMUSAP,Music Antique Pewter Twist Pen Kit,PKMUSBU,Music Pen Kits,8mm,Lower Tube 1.435”
PKNAUTAC,Nautical Antique Copper Twist Pen Kit,PKMAJSQBU,Nautical Pen Kits,3/8in,Tube / Barrel 2.62”
PKNAUTAP,Nautical Antique Pewter Twist Pen Kit,PKMAJSQBU,Nautical Pen Kits,3/8in,Tube / Barrel 2.62”
PKOLIVEAB,Olive Branch Antique Brass Twist Pen Kit,PKOLIVEBU,Olive Branch Pen Kits,3/8in,Upper Tube 2.032”;Lower Tube 2.032”
PKOLIVEAP,Olive Branch Antique Pewter Twist Pen Kit,PKOLIVEBU,Olive Branch Pen Kits,3/8in,Upper Tube 2.032”;Lower Tube 2.032”
PKOLIVECH,Olive Branch Chrome Twist Pen Kit,PKOLIVEBU,Olive Branch Pen Kits,3/8in,Upper Tube 2.032”;Lower Tube 2.032”
PKPARK-C,Classic Chrome Twist Pen Kit,PKPARK-BU,Classic Pen Kits,8mm,Tube 2”
PKPATPEN24,Patrizio Gold Twist Pen Kit,PKPATPENBU,Patrizio Pen Kits,7mm,"Tube 1 15/32"""
PKPARK-G,Classic 24kt Gold Twist Pen Kit,PKPARK-BU,Classic Pen Kits,8mm,Tube 2”
PKOLIVEGD,Olive Branch Golden Twist Pen Kit,PKOLIVEBU,Olive Branch Pen Kits,3/8in,Upper Tube 2.032”;Lower Tube 2.032”
